"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-RD-A8MW-01A",0,0.0321833189571669,0.128268921344546,0.118113017406283,0,0.0978954515274881,0.0976749678167535,0,0.0285540548709801,0,0,0.00651450745716422,0.031646071552361,0.140184261853107,0.0842666180961113,0.143102884417766,0.00465329017656009,0.0221590700355893,0.0360652707189079,0,0.00824777459393109,0.0204705191752846,0,0.57634584620415,0.835134716279778
"TCGA-KB-A6F7-01A",0.0537638756490227,0,0.0816653244963011,0.214302672151383,0,0.0773662730619887,0.0914602087614692,0.0210720348565316,0.0513555914710537,0,0.0239068198467924,0,0.0146076638908416,0.0869722742235703,0.0562747794329169,0.145452979631013,0.0505037540012079,0.0166235243336516,0.00424219031112979,0,0.00546574834158466,0.00496428553954234,0,0.484838549004711,0.876590351184283
"TCGA-BR-8382-01A",0,0.0627421138123957,0.098419377380413,0.0919258708895667,0,0.148376927386162,0.0451461760871681,0.0479403566389387,0,0,0,0.0634119044975369,0.00867400894539123,0.0505689767250117,0.106578988721857,0.10993934526144,0.0439210604131553,0.0305103568411832,0.0399296740835832,0,0,0.0519148623161974,0,0.501639626841377,0.868699205206722
"TCGA-BR-8060-01A",0,0.0886012252414684,0.110422742463123,0.0456309090974024,0,0.144255059483745,0.000158389472356783,0.0641749444703199,0,0,0,0.0848128858798855,0.0638833974672389,0.063712600938185,0.0731302138726101,0.139714036351358,0.0136978417692891,0.0373037726759118,0.000484103063616069,0,0.0537442650136033,0.0162736127398868,0,0.472887894659379,0.882393579327319
"TCGA-HU-A4GF-01A",0.000264749466160458,0.0413320502405046,0.121911911868974,0.0031470276084662,0,0.207159375607397,0.00976041122417642,0,0.00869568579951789,0,0,0.0549767581236587,0.0423899961233807,0.169806603579702,0.0878678320277054,0.0671210967320329,0.0113546652330237,0.0867727855842261,0,0,0,0.0874390507810738,0,0.375944245340827,0.927759075517465
"TCGA-R5-A7ZI-01A",0.00885684477187273,0.0420616521080387,0.143300049054972,0.181554301829348,0,0.0444325925789899,0.0822508175300479,0.0485129456462569,0.0691852974696767,0.0148936181630579,0,0,0,0.0336936069565902,0.0515842240706656,0.171456292532821,0.00658433301344186,0.0756018772794457,0.0104888440778292,0.00577484331714499,0,0.00976785959980055,0,0.583071505404558,0.826938337059346
"TCGA-BR-8588-01A",0.0822732684763691,0.0290678230540492,0.0326076241238622,0.172886566081744,0,0.105592173097168,0.0494007523621775,0.021351571549288,0.0129556595288204,0,0,0.0174849493038908,0,0.0788754106840319,0.0570500555935919,0.127654948272295,0.034743363282906,0.0303235838150119,0.0685007410692095,0,0.0320353932511213,0.0471961164544637,0,0.486876551155377,0.877778971609047
"TCGA-CD-5801-01A",0.0224394775116612,0,0.119436022317872,0.290881644448555,0,0.0276597563967172,0.0847433545825029,0,0.0548577179345762,0,0,0.0509431797862456,0.00297790950082149,0,0.109346914522134,0.152742844594298,0.0552288378132613,0,0.0246148353907505,0,0,0.00412750520060438,0,0.610470895729459,0.806555802571371
"TCGA-CD-5800-01A",0.148110145896192,0,0.045785918483727,0.132319441914644,0,0.10418156349829,0.0280051303486484,0.0466142729337129,0.0593863207327296,0,0,0.0134021929575421,0.0462795886411527,0.143085937487091,0.0447850659145767,0.133620669145371,0,0.050622646743298,0,0,0,0.00380110530302431,0,0.326199151110932,0.94982902658699
"TCGA-VQ-A8PX-01A",0.0342579067891094,0.0151635995815401,0.196758014670892,0.149900254236727,0,0.220735616793796,0.0370051632470546,0,0.0874833501244696,0,0.0019611100926088,0.000239492201652229,0.00111672244152208,0,0.0423486499249954,0.0552297581322921,0.044934394241522,0.0508095560531416,0.00578481320220144,0.0100703197130932,0,0.0462012785533828,0,0.394929330275139,0.921057535524795
