"","Tumor_Sample_Barcode","total","total_perMB","total_perMB_log"
"247","TCGA-KB-A93J-01A-11D-A397-08",135,2.7,0.431363764158987
"248","TCGA-BR-4371-01A-01D-1158-08",136,2.72,0.434568904034199
"249","TCGA-BR-A4PD-01A-11D-A25D-08",136,2.72,0.434568904034199
"250","TCGA-IN-7806-01A-11D-2053-08",136,2.72,0.434568904034199
"251","TCGA-VQ-A8DU-01A-11D-A364-08",136,2.72,0.434568904034199
"252","TCGA-BR-8679-01A-11D-2394-08",137,2.74,0.437750562820388
"253","TCGA-BR-A4CS-01A-11D-A24D-08",139,2.78,0.444044795918076
"254","TCGA-BR-A4IY-01A-11D-A25D-08",139,2.78,0.444044795918076
"255","TCGA-D7-6525-01A-11D-1800-08",140,2.8,0.447158031342219
"256","TCGA-RD-A8N6-01A-11D-A364-08",140,2.8,0.447158031342219
"257","TCGA-CD-8524-01A-11D-2340-08",141,2.82,0.450249108319361
"258","TCGA-BR-7723-01A-11D-2053-08",142,2.84,0.453318340047038
"259","TCGA-BR-7958-01A-21D-2340-08",144,2.88,0.459392487759231
"260","TCGA-D7-A6EV-01A-11D-A31L-08",144,2.88,0.459392487759231
"261","TCGA-VQ-A922-01A-11D-A410-08",144,2.88,0.459392487759231
"262","TCGA-VQ-A8DL-01A-11D-A364-08",145,2.9,0.462397997898956
"263","TCGA-D7-6818-01A-11D-1882-08",146,2.92,0.465382851448418
"264","TCGA-CD-5800-01A-11D-1600-08",147,2.94,0.468347330412157
"265","TCGA-HU-8238-01A-11D-2340-08",147,2.94,0.468347330412157
"266","TCGA-FP-A9TM-01A-11D-A397-08",148,2.96,0.471291711058939
"267","TCGA-CG-4444-01A-01D-1158-08",150,3,0.477121254719662
"268","TCGA-EQ-5647-01A-01D-1600-08",150,3,0.477121254719662
"269","TCGA-IN-A6RP-01A-21D-A33T-08",150,3,0.477121254719662
"270","TCGA-R5-A7ZE-01B-11D-A34U-08",150,3,0.477121254719662
"271","TCGA-HU-A4H2-01A-11D-A25D-08",151,3.02,0.480006942957151
"272","TCGA-VQ-AA68-01A-11D-A410-08",151,3.02,0.480006942957151
